TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
ARI,@BUF,LAR,DET,WAS,@SF,@GB,LAC,@MIA,CHI,NYJ,Bye,@SEA,@MIN,SEA,NE,@CAR,@LAR,SF
ATL,PIT,@PHI,KC,NO,TB,@CAR,SEA,@TB,DAL,@NO,@DEN,Bye,LAC,@MIN,@LV,NYG,@WAS,CAR
BAL,@KC,LV,@DAL,BUF,@CIN,WAS,@TB,@CLE,DEN,CIN,@PIT,@LAC,PHI,Bye,@NYG,PIT,@HOU,CLE
BUF,ARI,@MIA,JAX,@BAL,@HOU,@NYJ,TEN,@SEA,MIA,@IND,KC,Bye,SF,@LAR,@DET,NE,NYJ,@NE
CAR,@NO,LAC,@LV,CIN,@CHI,ATL,@WAS,@DEN,NO,NYG,Bye,KC,TB,@PHI,DAL,ARI,@TB,@ATL
CHI,TEN,@HOU,@IND,LAR,CAR,JAX,Bye,@WAS,@ARI,NE,GB,MIN,@DET,@SF,@MIN,DET,SEA,@GB
CIN,NE,@KC,WAS,@CAR,BAL,@NYG,@CLE,PHI,LV,@BAL,@LAC,Bye,PIT,@DAL,@TEN,CLE,DEN,@PIT
CLE,DAL,@JAX,NYG,@LV,@WAS,@PHI,CIN,BAL,LAC,Bye,@NO,PIT,@DEN,@PIT,KC,@CIN,MIA,@BAL
DAL,@CLE,NO,BAL,@NYG,@PIT,DET,Bye,@SF,@ATL,PHI,HOU,@WAS,NYG,CIN,@CAR,TB,@PHI,WAS
DEN,@SEA,PIT,@TB,@NYJ,LV,LAC,@NO,CAR,@BAL,@KC,ATL,@LV,CLE,Bye,IND,@LAC,@CIN,KC
DET,LAR,TB,@ARI,SEA,Bye,@DAL,@MIN,TEN,@GB,@HOU,JAX,@IND,CHI,GB,BUF,@CHI,@SF,MIN
GB,@PHI,IND,@TEN,MIN,@LAR,ARI,HOU,@JAX,DET,Bye,@CHI,SF,MIA,@DET,@SEA,NO,@MIN,CHI
HOU,@IND,CHI,@MIN,JAX,BUF,@NE,@GB,IND,@NYJ,DET,@DAL,TEN,@JAX,Bye,MIA,@KC,BAL,@TEN
IND,HOU,@GB,CHI,PIT,@JAX,@TEN,MIA,@HOU,@MIN,BUF,@NYJ,DET,@NE,Bye,@DEN,TEN,@NYG,JAX
JAC,@MIA,CLE,@BUF,@HOU,IND,@CHI,NE,GB,@PHI,MIN,@DET,Bye,HOU,@TEN,NYJ,@LV,TEN,@IND
KC,BAL,CIN,@ATL,@LAC,NO,Bye,@SF,@LV,TB,DEN,@BUF,@CAR,LV,LAC,@CLE,HOU,@PIT,@DEN
LV,@LAC,@BAL,CAR,CLE,@DEN,PIT,@LAR,KC,@CIN,Bye,@MIA,DEN,@KC,@TB,ATL,JAX,@NO,LAC
LAC,LV,@CAR,@PIT,KC,Bye,@DEN,@ARI,NO,@CLE,TEN,CIN,BAL,@ATL,@KC,TB,DEN,@NE,@LV
LAR,@DET,@ARI,SF,@CHI,GB,Bye,LV,MIN,@SEA,MIA,@NE,PHI,@NO,BUF,@SF,@NYJ,ARI,SEA
MIA,JAX,BUF,@SEA,TEN,@NE,Bye,@IND,ARI,@BUF,@LAR,LV,NE,@GB,NYJ,@HOU,SF,@CLE,@NYJ
MIN,@NYG,SF,HOU,@GB,NYJ,Bye,DET,@LAR,IND,@JAX,@TEN,@CHI,ARI,ATL,CHI,@SEA,GB,@DET
NE,@CIN,SEA,@NYJ,@SF,MIA,HOU,@JAX,NYJ,@TEN,@CHI,LAR,@MIA,IND,Bye,@ARI,@BUF,LAC,BUF
NO,CAR,@DAL,PHI,@ATL,@KC,TB,DEN,@LAC,@CAR,ATL,CLE,Bye,LAR,@NYG,WAS,@GB,LV,@TB
NYG,MIN,@WAS,@CLE,DAL,@SEA,CIN,PHI,@PIT,WAS,@CAR,Bye,TB,@DAL,NO,BAL,@ATL,IND,@PHI
NYJ,@SF,@TEN,NE,DEN,@MIN,BUF,@PIT,@NE,HOU,@ARI,IND,Bye,SEA,@MIA,@JAX,LAR,@BUF,MIA
PHI,GB,ATL,@NO,@TB,Bye,CLE,@NYG,@CIN,JAX,@DAL,WAS,@LAR,@BAL,CAR,PIT,@WAS,DAL,NYG
PIT,@ATL,@DEN,LAC,@IND,DAL,@LV,NYJ,NYG,Bye,@WAS,BAL,@CLE,@CIN,CLE,@PHI,@BAL,KC,CIN
SF,NYJ,@MIN,@LAR,NE,ARI,@SEA,KC,DAL,Bye,@TB,SEA,@GB,@BUF,CHI,LAR,@MIA,DET,@ARI
SEA,DEN,@NE,MIA,@DET,NYG,SF,@ATL,BUF,LAR,Bye,@SF,ARI,@NYJ,@ARI,GB,MIN,@CHI,@LAR
TB,WAS,@DET,DEN,PHI,@ATL,@NO,BAL,ATL,@KC,SF,Bye,@NYG,@CAR,LV,@LAC,@DAL,CAR,NO
TEN,@CHI,NYJ,GB,@MIA,Bye,IND,@BUF,@DET,NE,@LAC,MIN,@HOU,@WAS,JAX,CIN,@IND,@JAX,HOU
WAS,@TB,NYG,@CIN,@ARI,CLE,@BAL,CAR,CHI,@NYG,PIT,@PHI,DAL,TEN,Bye,@NO,PHI,ATL,@DAL
